Time,Distance,Theta,LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori
61.605,4.223659,-0.011023,22.040675,20.570684,2.874934,0.110834,-0.021665
61.938,2.87707,-0.021665,0,0,2.874934,0.110834,-0.021665
62.271,4.626394,-0.021665,21.453579,21.844874,10.082435,-0.045339,-0.018832
62.604,2.582833,-0.018832,0,0,10.082435,-0.045339,-0.018832
62.937,4.917774,-0.018832,21.471203,22.736884,17.441776,-0.183947,-0.00967
63.27,2.448695,-0.00967,0,0,17.441776,-0.183947,-0.00967
63.603,5.061568,-0.00967,20.429394,22.579682,24.602453,-0.253191,0.005897
63.936,2.117643,0.005897,0,0,24.602453,-0.253191,0.005897
64.269,5.403483,0.005897,19.219896,23.232279,31.670617,-0.211513,0.034943
64.602,1.683953,0.034943,0,0,31.670617,-0.211513,0.034943
64.935,5.833219,0.034943,21.543984,22.327729,38.970798,0.043679,0.040616
65.268,1.471446,0.040616,0,0,38.970798,0.043679,0.040616
65.601,6.02936,0.040616,23.003445,20.48056,46.204914,0.337664,0.022353
65.934,1.251333,0.022353,0,0,46.204914,0.337664,0.022353
66.267,6.304136,0.022353,5,-5,46.204914,0.337664,-0.050038
66.6,6.304136,-0.050038,22.701208,21.403483,53.539153,-0.029636,-0.059433
66.933,1.039576,-0.059433,0,0,53.539153,-0.029636,-0.059433
67.266,6.460915,-0.059433,-5,5,53.539153,-0.029636,0.012958
67.599,6.460915,0.012958,21.051095,20.83136,60.511996,0.060726,0.011368
67.932,0.515585,0.011368,0,0,60.511996,0.060726,0.011368
68.265,6.988268,0.011368,22.635709,21.803037,67.910569,0.144835,0.00534
68.598,0.435367,0.00534,0,0,67.910569,0.144835,0.00534
68.931,7.09091,0.00534,21.523149,20.377251,74.886887,0.182089,-0.002955
69.264,0.214362,-0.002955,0,0,74.886887,0.182089,-0.002955
69.597,7.615291,-0.002955,22.63237,21.598545,82.251302,0.160324,-0.010439
69.93,0.295896,-0.010439,0,0,82.251302,0.160324,-0.010439
70.263,7.750357,-0.010439,21.489269,21.998948,89.491695,0.084736,-0.00675
70.596,0.515319,-0.00675,0,0,89.491695,0.084736,-0.00675
70.929,7.916168,-0.00675,21.379184,21.300231,96.597656,0.036772,-0.007321
71.262,0.810588,-0.007321,0,0,96.597656,0.036772,-0.007321
71.595,6.179764,-0.007321,21.514464,22.717489,103.962079,-0.017146,0.001388
71.928,1.185969,0.001388,0,0,103.962079,-0.017146,0.001388
72.261,3.821234,0.001388,-5,5,103.962079,-0.017146,0.073779
72.594,3.821234,0.073779,0,0,103.962079,-0.017146,0.073779
72.927,8.820321,0.073779,20.191448,23.074594,111.146278,0.51386,0.09465
73.26,1.624951,0.09465,0,0,111.146278,0.51386,0.09465
73.593,6.623731,0.09465,-5,5,111.146278,0.51386,0.167042
73.926,6.623731,0.167042,21.992456,22.33795,118.424553,1.741071,0.169543
74.259,0.758435,0.169543,0,0,118.424553,1.741071,0.169543
74.592,4.241171,0.169543,19.993365,23.556072,125.57157,2.964541,0.195334
74.925,3.014492,0.195334,0,0,125.57157,2.964541,0.195334
75.258,2.044147,0.195334,-5,5,125.57157,2.964541,0.267725
75.591,2.044147,0.267725,-5,5,125.57157,2.964541,0.340116
75.924,2.044147,0.340116,-5,5,125.57157,2.964541,0.412508
76.257,2.044147,0.412508,0,0,125.57157,2.964541,0.412508
76.59,7.030176,0.412508,5,-5,125.57157,2.964541,0.340116
76.923,7.030176,0.340116,22.32945,21.40676,132.436502,5.393818,0.333437
77.256,0.25237,0.333437,0,0,132.436502,5.393818,0.333437
77.589,4.747816,0.333437,20.383687,22.051031,139.112743,7.706263,0.345507
77.922,2.321452,0.345507,0,0,139.112743,7.706263,0.345507
78.255,2.707379,0.345507,-5,5,139.112743,7.706263,0.417898
78.588,2.707379,0.417898,-5,5,139.112743,7.706263,0.490289
78.921,2.707379,0.490289,0,0,139.112743,7.706263,0.490289
79.254,7.70466,0.490289,23.248718,21.337188,145.661777,11.201876,0.476452
79.587,0.318943,0.476452,0,0,145.661777,11.201876,0.476452
79.92,5.279454,0.476452,20.859962,22.185981,152.030706,14.488938,0.486051
80.253,1.887812,0.486051,0,0,152.030706,14.488938,0.486051
80.586,3.118417,0.486051,-5,5,152.030706,14.488938,0.558442
80.919,3.118417,0.558442,0,0,152.030706,14.488938,0.558442
81.252,8.11781,0.558442,20.907783,23.136542,158.25001,18.374644,0.574576
81.585,0.844806,0.574576,0,0,158.25001,18.374644,0.574576
81.918,5.810429,0.574576,-5,5,158.25001,18.374644,0.646968
82.251,5.810429,0.646968,19.814104,23.50919,164.005634,22.72262,0.673717
82.584,1.439379,0.673717,0,0,164.005634,22.72262,0.673717
82.917,3.626334,0.673717,-5,5,164.005634,22.72262,0.746108
83.25,3.626334,0.746108,-5,5,164.005634,22.72262,0.8185
83.583,3.626334,0.8185,0,0,164.005634,22.72262,0.8185
83.916,8.623031,0.8185,23.074075,19.613581,168.86231,27.911954,0.793449
84.249,1.554372,0.793449,0,0,168.86231,27.911954,0.793449
84.582,6.522176,0.793449,23.0392,19.434154,173.822419,32.952576,0.767351
84.915,0.630059,0.767351,0,0,173.822419,32.952576,0.767351
85.248,4.434338,0.767351,21.399861,22.151529,179.041561,37.986659,0.772793
85.581,2.820901,0.772793,0,0,179.041561,37.986659,0.772793
85.914,2.277156,0.772793,-5,5,179.041561,37.986659,0.845184
86.247,2.277156,0.845184,-5,5,179.041561,37.986659,0.917575
86.58,2.277156,0.917575,-5,5,179.041561,37.986659,0.989967
86.913,2.277156,0.989967,-5,5,179.041561,37.986659,1.062358
87.246,2.277156,1.062358,-5,5,179.041561,37.986659,1.134749
87.579,2.277156,1.134749,0,0,179.041561,37.986659,1.134749
87.912,7.25417,1.134749,5,-5,179.041561,37.986659,1.062358
88.245,7.25417,1.062358,5,-5,179.041561,37.986659,0.989967
88.578,7.25417,0.989967,21.723347,21.242698,182.967004,43.967329,0.986487
88.911,0.151714,0.986487,0,0,182.967004,43.967329,0.986487
89.244,5.101615,0.986487,19.356281,23.852387,186.935517,49.968,1.019035
89.577,2.105588,1.019035,0,0,186.935517,49.968,1.019035
89.91,2.939812,1.019035,-5,5,186.935517,49.968,1.091426
90.243,2.939812,1.091426,-5,5,186.935517,49.968,1.163818
90.576,2.939812,1.163818,0,0,186.935517,49.968,1.163818
90.909,7.935483,1.163818,23.02232,21.285502,189.855704,56.742685,1.151245
91.242,0.626915,1.151245,0,0,189.855704,56.742685,1.151245
91.575,5.562977,1.151245,23.560059,20.447704,192.840485,63.434493,1.128714
91.908,1.793611,1.128714,0,0,192.840485,63.434493,1.128714
92.241,3.221504,1.128714,0,0,192.840485,63.434493,1.128714
92.574,8.209376,1.128714,-5,5,192.840485,63.434493,1.201105
92.907,8.209376,1.201105,21.288213,22.500244,195.474844,70.232699,1.209879
93.24,0.921241,1.209879,0,0,195.474844,70.232699,1.209879
93.573,5.920541,1.209879,-5,5,195.474844,70.232699,1.28227
93.906,5.920541,1.28227,20.972791,22.994749,197.557841,77.250693,1.296908
94.239,1.404627,1.296908,0,0,197.557841,77.250693,1.296908
94.572,3.614752,1.296908,-5,5,197.557841,77.250693,1.369299
94.905,3.614752,1.369299,0,0,197.557841,77.250693,1.369299
95.238,8.614201,1.369299,19.546286,21.862399,198.937692,84.005749,1.386066
95.571,1.741591,1.386066,0,0,198.937692,84.005749,1.386066
95.904,6.735335,1.386066,-5,5,198.937692,84.005749,1.458457
96.237,6.735335,1.458457,21.583766,21.342361,199.738916,91.107897,1.456709
96.57,0.431747,1.456709,0,0,199.738916,91.107897,1.456709
96.903,4.594667,1.456709,-5,5,199.738916,91.107897,1.529101
97.236,4.594667,1.529101,22.276139,21.924868,200.045685,98.460968,1.526558
97.569,2.764954,1.526558,0,0,200.045685,98.460968,1.526558
97.902,2.237685,1.526558,-5,5,200.045685,98.460968,1.598949
98.235,2.237685,1.598949,0,0,200.045685,98.460968,1.598949
98.568,7.237082,1.598949,21.080002,21.489181,199.846172,105.545928,1.601911
98.901,0.149372,1.601911,0,0,199.846172,105.545928,1.601911
99.234,5.148806,1.601911,19.833546,23.052358,199.624032,112.682975,1.625213
99.567,2.014756,1.625213,0,0,199.624032,112.682975,1.625213
99.9,3.071777,1.625213,-5,5,199.624032,112.682975,1.697604
100.233,3.071777,1.697604,-5,5,199.624032,112.682975,1.769995
100.566,3.071777,1.769995,-5,5,199.624032,112.682975,1.842386
100.899,3.071777,1.842386,0,0,199.624032,112.682975,1.842386
101.232,8.061816,1.842386,23.731335,19.608928,197.6882,119.634625,1.812544
101.565,0.933063,1.812544,0,0,197.6882,119.634625,1.812544
101.898,5.862749,1.812544,5,-5,197.6882,119.634625,1.740153
