Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
36.963,131.363205,-0.013956,0.002728,-1.833375,131.363205,1,10.261695,10.964716,20.353437,160.764393,0.006822,151.713585,159.827216,0.00955
37.296,135.734236,-0.016265,0.001957,-2.207909,135.734236,1,9.018636,9.42044,23.423472,160.785338,0.009731,159.151281,159.898245,0.011688
37.629,132.053059,-0.017286,0.001389,-2.282867,132.053059,1,10.946972,11.025493,27.081714,160.820938,0.010299,159.151281,159.898245,0.011688
37.962,136.246563,-0.018284,0.000609,-2.491449,136.246563,1,9.581155,9.803082,30.309018,160.854178,0.011906,166.575587,159.985025,0.012515
38.295,132.673863,-0.009927,0.009461,-1.317125,132.673863,1,11.402932,10.18013,33.902343,160.896963,0.003054,166.575587,159.985025,0.012515
38.628,136.744509,-0.004554,0.007387,-0.622784,136.744509,1,10.060999,9.429515,37.147499,160.906873,-0.001517,173.89185,160.076595,0.00587
38.961,132.987355,-0.006489,0.005581,-0.862998,132.987355,1,11.157543,11.40706,40.904501,160.901173,0.000289,173.89185,160.076595,0.00587
39.294,136.711052,-0.002905,-0.001661,-0.397164,136.711052,1,10.050881,9.619652,44.179644,160.902119,-0.002833,180.890148,160.117677,-0.004494
39.627,133.01943,-0.003701,-0.002377,-0.492319,133.01943,1,11.035837,11.134654,47.871016,160.891662,-0.002117,180.890148,160.117677,-0.004494
39.96,136.882362,-0.00411,-0.001891,-0.562647,136.882362,1,9.418071,9.472239,51.016246,160.885002,-0.001725,187.898404,160.086185,-0.003616
40.293,133.113549,-0.001433,0.000903,-0.190804,133.113549,1,11.51418,11.128302,54.786214,160.878497,-0.004519,187.898404,160.086185,-0.003616
40.626,137.118739,0.00439,0.007727,0.601909,137.118739,1,10.189711,9.397723,58.047488,160.86376,-0.010252,195.165192,160.05991,-0.002525
40.959,133.464636,0.007025,0.010242,0.937612,133.464636,1,11.141197,10.793741,61.699463,160.826319,-0.012767,195.165192,160.05991,-0.002525
