Time, R_x, R_y, R_Ori, KF_x, KF_y, KF_Ori, KF_q, KF_alpha
50.283000, 1.362643, 138.593241, 0.026365, 1.374403, 137.617675, 0.014836, -0.503722, -0.431352
50.616000, 1.231268, 134.790107, 0.025390, 1.223942, 135.868415, -0.027053, -0.078279, -0.275425
50.949000, 1.345660, 138.354989, 0.017977, 1.268033, 137.410333, -0.023155, -0.136719, -0.299036
51.282000, 1.394409, 134.591235, 0.018339, 1.390148, 135.658667, -0.019305, 0.599764, 0.216217
51.615000, 1.319994, 138.645432, 0.004354, 1.361791, 137.513506, 0.028556, 0.166845, -0.178731
51.948000, 2.280758, 134.726664, 0.011485, 2.041425, 135.787705, -0.010095, 0.876187, 0.237791
52.281000, 2.592414, 138.412389, -0.000946, 2.520996, 137.414181, 0.045002, 0.951076, 0.416805
52.614000, 2.103019, 134.472741, -0.004585, 2.286180, 135.591073, -0.010375, 0.311834, 0.530079
52.947000, 2.681109, 138.468204, -0.005223, 2.661224, 137.407328, 0.141166, 0.847199, 0.362515
53.280000, 1.583859, 134.547085, -0.013380, 1.915384, 135.612309, 0.033505, -0.005537, -0.216950
53.613000, 1.371873, 138.640427, -0.010423, 1.598877, 137.495865, 0.027501, -0.254372, 0.079659
53.946000, 0.880569, 134.656675, -0.014072, 1.053474, 135.736627, 0.000307, -0.595581, 0.206302
54.279000, 1.303767, 138.527386, -0.001350, 1.195425, 137.464010, 0.007194, -0.518473, 0.486141
54.612000, 1.395002, 134.624244, -0.000672, 1.252206, 135.698028, 0.123450, -0.331226, 0.969334
54.945000, 2.142066, 138.659964, 0.020617, 1.923304, 137.572859, 0.094843, 1.095711, 0.910591
55.278000, 2.555462, 134.686507, 0.023686, 2.345518, 135.756652, 0.117417, 0.257459, 1.152674
55.611000, 2.098949, 138.311111, 0.038195, 2.313250, 137.419339, 0.293380, 0.547290, 1.298155
55.944000, 2.009490, 134.550755, 0.037529, 2.017937, 135.532984, 0.224866, -0.693974, 0.927415
56.277000, 1.993824, 138.341636, 0.035214, 2.074381, 137.407124, 0.224555, 0.705817, 0.922580
56.610000, 2.130226, 134.447053, 0.036228, 2.032236, 135.462687, 0.226876, -0.305120, 0.665287
56.943000, 2.642563, 138.278995, 0.019964, 2.553401, 137.337022, 0.198513, 1.149664, 0.935964
57.276000, 1.713625, 134.550614, 0.013059, 1.959635, 135.504255, 0.155001, 0.139405, 0.662983
57.609000, 1.721496, 138.522408, -0.005371, 1.937843, 137.494601, 0.268814, 1.048196, 0.450609
57.942000, 1.743662, 134.759003, -0.005207, 1.795096, 135.752476, 0.084654, -0.195510, 0.210937
58.275000, 1.845818, 138.523948, -0.008164, 1.923168, 137.532926, 0.095699, 1.028436, -0.158372
58.608000, 2.372529, 134.681629, -0.004253, 2.279863, 135.764803, -0.006423, 0.804510, -0.007416
58.941000, 1.865411, 138.520009, -0.001931, 2.089412, 137.469381, 0.044707, 0.380858, 0.273953
59.274000, 2.056526, 134.683289, -0.000512, 2.093268, 135.745737, 0.004171, 0.729969, -0.337984
59.607000, 2.490736, 138.412491, -0.002570, 2.470008, 137.398228, -0.005678, 1.084399, -0.352506
59.940000, 1.341787, 134.567722, -0.011108, 1.797708, 135.641006, -0.031135, 0.388799, -0.798981
60.273000, 1.218188, 138.308887, -0.010497, 1.373171, 137.319212, -0.109572, 0.079339, -0.192835
60.606000, 1.074968, 134.529048, -0.011561, 1.250575, 135.562819, -0.050430, 0.086646, 0.150666
60.939000, 0.904953, 138.503520, -0.007108, 0.959441, 137.398975, -0.012578, -0.277569, 0.274064
61.272000, 0.720372, 134.715834, -0.008478, 0.769247, 135.738554, 0.005287, -0.643510, 0.351787
61.605000, 0.894933, 138.504192, -0.003356, 0.824008, 137.453072, -0.005813, -0.074308, -0.192179
61.938000, 1.003414, 134.668154, -0.002551, 0.914794, 135.729191, -0.001994, -0.347489, -0.492174
62.271000, 0.925667, 138.122599, 0.001286, 0.869920, 137.214350, -0.044959, -0.336063, -0.964781
62.604000, 1.111553, 134.295871, 0.002670, 1.080462, 135.390859, -0.115453, -0.117528, -0.875044
62.937000, 1.715447, 137.946080, 0.008038, 1.423198, 137.019544, -0.065164, -0.020287, -0.804895
63.270000, 1.933438, 141.331001, 0.028900, 1.589017, 139.773431, -0.092911, -0.643677, -0.870604
