Time,Distance,dTheta,QRToIMR_Theta, QRToIMR_X,QRToIMR_Y,InRange, LW_Vel,RW_Vel,Pose_x,Pose_y,Pose_Ori,QRPose_x,QRPose_y,QRPose_Ori
43.956,138.116042,0.003296,0.010516,0.455278,138.116042,1,10.27159,10.024463,-320.526133,0.169386,-0.002651,-182.410576,0.258524,0.007865
44.289,134.343043,0.002853,0.00998,0.383323,134.343043,1,11.292817,11.366805,-316.753319,0.159385,-0.002115,-182.410576,0.258524,0.007865
44.622,137.821679,0.00579,0.006621,0.797954,137.821679,1,10.680486,10.334692,-313.2543,0.151983,-0.004619,-175.434091,0.313395,-0.01124
44.955,134.042931,0.005336,0.007239,0.715201,134.042931,1,11.30388,11.38916,-309.475949,0.134532,-0.004001,-175.434091,0.313395,-0.01124
45.288,137.918945,0.004229,0.02746,0.583321,137.918945,1,10.097039,10.176551,-306.100423,0.121026,-0.003426,-168.182287,0.231884,-0.030886
45.621,134.106201,0.002498,0.029312,0.335058,134.106201,1,11.319956,11.575682,-302.288322,0.107967,-0.001574,-168.182287,0.231884,-0.030886
45.954,137.748093,0.002546,0.023727,0.350757,137.748093,1,10.40752,10.183892,-298.859856,0.102569,-0.003193,-161.112465,0.013455,-0.02692
46.287,133.968444,0.002899,0.023446,0.388335,133.968444,1,11.370048,11.331301,-295.080101,0.090499,-0.003474,-161.112465,0.013455,-0.02692
46.62,137.618667,0.001595,0.012668,0.219486,137.618667,1,10.293972,10.296821,-291.651754,0.078589,-0.003453,-154.033908,-0.177145,-0.016121
46.953,140.940684,0.001569,0.032045,0.221131,140.940684,1,11.856633,11.764936,-287.718786,0.065008,-0.004117,-146.779297,-0.294109,0.027928
47.286,136.844274,0.003116,0.033545,0.426462,136.844274,1,12.408167,12.200897,-283.621412,0.048139,-0.005617,-146.779297,-0.294109,0.027928
47.619,140.274575,0.000022,0.054974,0.003036,140.274575,1,10.499341,11.148817,-280.017051,0.027892,-0.000916,-139.742535,-0.097536,0.054058
47.952,136.288711,0.002039,0.056991,0.277958,136.288711,1,12.110475,11.831822,-276.03066,0.024241,-0.002933,-139.742535,-0.097536,0.054058
48.285,139.965621,0.000588,0.028058,0.082308,139.965621,1,10.319631,10.918842,-272.49447,0.013869,0.001405,-132.528987,0.292796,0.029463
48.618,135.904082,-0.000633,0.026819,-0.086083,135.904082,1,12.112256,12.283415,-268.432594,0.019575,0.002644,-132.528987,0.292796,0.029463
48.951,132.280694,0.002611,0.04231,0.345435,132.280694,1,11.105045,10.65442,-264.809656,0.029154,-0.000618,-132.528987,0.292796,-0.042928
49.284,136.26759,-0.000362,0.056602,-0.04932,136.26759,1,9.162219,9.259646,-261.742416,0.027257,0.000087,-125.474827,-0.010214,-0.056515
49.617,132.635145,0.001909,0.054321,0.253161,132.635145,1,11.066714,10.751682,-258.109653,0.027573,-0.002194,-125.474827,-0.010214,-0.056515
49.95,129.417894,-0.00017,0.015944,-0.021961,129.417894,1,9.513652,9.807312,-254.89272,0.020516,-0.000068,-125.474827,-0.010214,0.015876
50.283,133.475433,-0.00004,0.001297,-0.005333,133.475433,1,9.020327,9.11992,-251.872369,0.020312,0.000653,-118.396965,0.102166,-0.000644
50.616,130.106448,-0.001181,0.002437,-0.153692,130.106448,1,10.038858,10.196375,-248.503204,0.022512,0.001793,-118.396965,0.102166,-0.000644
50.949,134.220366,0.000094,0.013058,0.012581,134.220366,1,8.828348,8.639602,-245.594795,0.027729,0.000427,-111.374441,0.097641,-0.012631
51.282,130.695835,0.000413,0.012741,0.054034,130.695835,1,10.606051,10.562237,-242.070275,0.029234,0.00011,-111.374441,0.097641,-0.012631
51.615,134.919749,-0.002289,0.020393,-0.308801,134.919749,1,8.739656,9.017477,-239.113713,0.029559,0.002121,-104.194267,0.006944,-0.018272
51.948,131.444202,-0.006636,0.02468,-0.872325,131.444202,1,10.148185,10.740408,-235.63577,0.036937,0.006408,-104.194267,0.006944,-0.018272
52.281,135.690469,-0.01075,0.012055,-1.458762,135.690469,1,9.06952,9.482294,-232.546956,0.056731,0.009396,-96.862477,-0.12704,-0.002659
52.614,132.130705,-0.010091,0.011106,-1.333332,132.130705,1,10.752184,10.621057,-228.988468,0.090169,0.008447,-96.862477,-0.12704,-0.002659
52.947,136.271006,-0.011105,0.003081,-1.513368,136.271006,1,9.324124,9.424877,-225.866871,0.116539,0.009177,-89.601603,-0.146346,0.012258
53.28,132.620198,-0.006026,0.008467,-0.799149,132.620198,1,11.321433,10.577525,-222.220848,0.149997,0.003791,-89.601603,-0.146346,0.012258
53.613,136.43916,-0.006963,0.019867,-0.949973,136.43916,1,9.646286,9.85956,-218.973148,0.162311,0.005335,-82.53593,-0.059729,0.025202
53.946,132.874137,-0.008278,0.018738,-1.099905,132.874137,1,10.630497,10.786366,-215.407291,0.181336,0.006464,-82.53593,-0.059729,0.025202
54.279,136.839504,-0.007961,0.000294,-1.089392,136.839504,1,9.427699,9.55189,-212.247256,0.201761,0.007363,-75.411461,0.11986,0.007657
54.612,133.081614,-0.01302,0.004541,-1.73284,133.081614,1,10.906425,11.574333,-208.504311,0.22932,0.012198,-75.411461,0.11986,0.007657
54.945,137.007167,-0.018136,0.014031,-2.485014,137.007167,1,9.323385,10.048943,-205.279058,0.268662,0.01745,-68.249389,0.174698,0.003419
55.278,133.246221,-0.019979,0.015363,-2.662466,133.246221,1,11.191856,11.37582,-201.522112,0.334228,0.018782,-68.249389,0.174698,0.003419
55.611,137.080334,-0.014701,0.024728,-2.015313,137.080334,1,9.89745,9.137044,-198.353428,0.393749,0.013277,-61.25842,0.198603,-0.011451
55.944,133.40391,-0.011848,0.02147,-1.580654,133.40391,1,11.282951,10.832858,-194.67147,0.442638,0.010019,-61.25842,0.198603,-0.011451
56.277,136.949356,-0.018055,0.032873,-2.472893,136.949356,1,9.631645,10.382382,-191.339302,0.476024,0.015454,-54.368085,0.119701,-0.017419
56.61,133.297606,-0.009507,0.023827,-1.267268,133.297606,1,11.66619,10.416611,-187.662955,0.532841,0.006408,-54.368085,0.119701,-0.017419
56.943,137.448621,-0.015767,0.026534,-2.167282,137.448621,1,9.461922,10.18825,-184.391268,0.553805,0.011666,-46.926718,-0.00993,-0.014868
57.276,133.594658,-0.017155,0.027468,-2.292087,133.594658,1,11.502682,11.631732,-180.53965,0.598739,0.0126,-46.926718,-0.00993,-0.014868
57.609,137.296381,-0.017248,0.020732,-2.368256,137.296381,1,10.216333,10.097206,-177.157715,0.641354,0.011738,-39.842994,-0.115256,-0.008994
57.942,133.598808,-0.019272,0.022279,-2.575062,133.598808,1,10.985419,11.199248,-173.464222,0.684708,0.013285,-39.842994,-0.115256,-0.008994
58.275,137.318563,-0.011408,0.00575,-1.566559,137.318563,1,10.755304,9.581919,-170.078373,0.729693,0.004791,-32.761386,-0.178949,-0.000959
58.608,133.455483,-0.012286,0.006298,-1.639725,133.455483,1,11.564089,11.639822,-166.214967,0.748204,0.005339,-32.761386,-0.178949,-0.000959
58.941,137.182118,-0.012243,0.006857,-1.679581,137.182118,1,9.865561,9.861225,-162.930504,0.765741,0.005308,-25.750318,-0.185675,0.012165
